Region,Country,Year,Series,Value
417,Kyrgyzstan,2016,Changes in stocks (petajoules),-4
417,Kyrgyzstan,2017,Changes in stocks (petajoules),5
417,Kyrgyzstan,1995,Total supply (petajoules),101
417,Kyrgyzstan,2000,Total supply (petajoules),101
417,Kyrgyzstan,2005,Total supply (petajoules),114
417,Kyrgyzstan,2010,Total supply (petajoules),115
417,Kyrgyzstan,2015,Total supply (petajoules),167
417,Kyrgyzstan,2016,Total supply (petajoules),162
417,Kyrgyzstan,2017,Total supply (petajoules),162
417,Kyrgyzstan,1995,Supply per capita (gigajoules),22
417,Kyrgyzstan,2000,Supply per capita (gigajoules),20
417,Kyrgyzstan,2005,Supply per capita (gigajoules),23
417,Kyrgyzstan,2010,Supply per capita (gigajoules),21
417,Kyrgyzstan,2015,Supply per capita (gigajoules),29
417,Kyrgyzstan,2016,Supply per capita (gigajoules),27
417,Kyrgyzstan,2017,Supply per capita (gigajoules),27
418,Lao People's Dem. Rep.,1990,Primary energy production (petajoules),54
418,Lao People's Dem. Rep.,1995,Primary energy production (petajoules),56
418,Lao People's Dem. Rep.,2000,Primary energy production (petajoules),57
418,Lao People's Dem. Rep.,2005,Primary energy production (petajoules),64
418,Lao People's Dem. Rep.,2010,Primary energy production (petajoules),98
418,Lao People's Dem. Rep.,2015,Primary energy production (petajoules),162
418,Lao People's Dem. Rep.,2016,Primary energy production (petajoules),267
418,Lao People's Dem. Rep.,2017,Primary energy production (petajoules),276
418,Lao People's Dem. Rep.,1990,Net imports [Imports - Exports - Bunkers] (petajoules),5
418,Lao People's Dem. Rep.,1995,Net imports [Imports - Exports - Bunkers] (petajoules),7
418,Lao People's Dem. Rep.,2000,Net imports [Imports - Exports - Bunkers] (petajoules),1
418,Lao People's Dem. Rep.,2005,Net imports [Imports - Exports - Bunkers] (petajoules),5
418,Lao People's Dem. Rep.,2010,Net imports [Imports - Exports - Bunkers] (petajoules),3
418,Lao People's Dem. Rep.,2015,Net imports [Imports - Exports - Bunkers] (petajoules),7
418,Lao People's Dem. Rep.,2016,Net imports [Imports - Exports - Bunkers] (petajoules),-23
418,Lao People's Dem. Rep.,2017,Net imports [Imports - Exports - Bunkers] (petajoules),-41
418,Lao People's Dem. Rep.,2016,Changes in stocks (petajoules),34
418,Lao People's Dem. Rep.,2017,Changes in stocks (petajoules),-1
418,Lao People's Dem. Rep.,1990,Total supply (petajoules),60
418,Lao People's Dem. Rep.,1995,Total supply (petajoules),63
418,Lao People's Dem. Rep.,2000,Total supply (petajoules),58
418,Lao People's Dem. Rep.,2005,Total supply (petajoules),68
418,Lao People's Dem. Rep.,2010,Total supply (petajoules),100
418,Lao People's Dem. Rep.,2015,Total supply (petajoules),169
418,Lao People's Dem. Rep.,2016,Total supply (petajoules),209
418,Lao People's Dem. Rep.,2017,Total supply (petajoules),237
418,Lao People's Dem. Rep.,1990,Supply per capita (gigajoules),14
418,Lao People's Dem. Rep.,1995,Supply per capita (gigajoules),13
418,Lao People's Dem. Rep.,2000,Supply per capita (gigajoules),11
418,Lao People's Dem. Rep.,2005,Supply per capita (gigajoules),12
418,Lao People's Dem. Rep.,2010,Supply per capita (gigajoules),16
418,Lao People's Dem. Rep.,2015,Supply per capita (gigajoules),25
418,Lao People's Dem. Rep.,2016,Supply per capita (gigajoules),31
418,Lao People's Dem. Rep.,2017,Supply per capita (gigajoules),35
428,Latvia,1995,Primary energy production (petajoules),60
428,Latvia,2000,Primary energy production (petajoules),59
428,Latvia,2005,Primary energy production (petajoules),78
428,Latvia,2010,Primary energy production (petajoules),83
428,Latvia,2015,Primary energy production (petajoules),98
428,Latvia,2016,Primary energy production (petajoules),102
428,Latvia,2017,Primary energy production (petajoules),108
428,Latvia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),134
428,Latvia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),99
428,Latvia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),116
428,Latvia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),78
428,Latvia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),84
428,Latvia,2016,Net imports [Imports - Exports - Bunkers] (petajoules),76
428,Latvia,2017,Net imports [Imports - Exports - Bunkers] (petajoules),72
428,Latvia,1995,Changes in stocks (petajoules),1
428,Latvia,2000,Changes in stocks (petajoules),-4
428,Latvia,2005,Changes in stocks (petajoules),5
428,Latvia,2010,Changes in stocks (petajoules),-28
428,Latvia,2015,Changes in stocks (petajoules),3
428,Latvia,2016,Changes in stocks (petajoules),-1
428,Latvia,2017,Changes in stocks (petajoules),-4
428,Latvia,1995,Total supply (petajoules),193
428,Latvia,2000,Total supply (petajoules),161
428,Latvia,2005,Total supply (petajoules),190
428,Latvia,2010,Total supply (petajoules),189
428,Latvia,2015,Total supply (petajoules),179
428,Latvia,2016,Total supply (petajoules),179
428,Latvia,2017,Total supply (petajoules),185
428,Latvia,1995,Supply per capita (gigajoules),77
428,Latvia,2000,Supply per capita (gigajoules),67
428,Latvia,2005,Supply per capita (gigajoules),82
428,Latvia,2010,Supply per capita (gigajoules),89
428,Latvia,2015,Supply per capita (gigajoules),90
428,Latvia,2016,Supply per capita (gigajoules),91
428,Latvia,2017,Supply per capita (gigajoules),95
422,Lebanon,1990,Primary energy production (petajoules),5
422,Lebanon,1995,Primary energy production (petajoules),8
422,Lebanon,2000,Primary energy production (petajoules),7
422,Lebanon,2005,Primary energy production (petajoules),10
422,Lebanon,2010,Primary energy production (petajoules),9
422,Lebanon,2015,Primary energy production (petajoules),8
422,Lebanon,2016,Primary energy production (petajoules),7
422,Lebanon,2017,Primary energy production (petajoules),8
422,Lebanon,1990,Net imports [Imports - Exports - Bunkers] (petajoules),108
422,Lebanon,1995,Net imports [Imports - Exports - Bunkers] (petajoules),166
422,Lebanon,2000,Net imports [Imports - Exports - Bunkers] (petajoules),198
422,Lebanon,2005,Net imports [Imports - Exports - Bunkers] (petajoules),197
422,Lebanon,2010,Net imports [Imports - Exports - Bunkers] (petajoules),253
422,Lebanon,2015,Net imports [Imports - Exports - Bunkers] (petajoules),330
422,Lebanon,2016,Net imports [Imports - Exports - Bunkers] (petajoules),340
422,Lebanon,2017,Net imports [Imports - Exports - Bunkers] (petajoules),361
422,Lebanon,2000,Changes in stocks (petajoules),-1
422,Lebanon,1990,Total supply (petajoules),113
422,Lebanon,1995,Total supply (petajoules),174
422,Lebanon,2000,Total supply (petajoules),207
422,Lebanon,2005,Total supply (petajoules),206
422,Lebanon,2010,Total supply (petajoules),262
422,Lebanon,2015,Total supply (petajoules),337
422,Lebanon,2016,Total supply (petajoules),348
422,Lebanon,2017,Total supply (petajoules),369
422,Lebanon,1990,Supply per capita (gigajoules),38
422,Lebanon,1995,Supply per capita (gigajoules),50
422,Lebanon,2000,Supply per capita (gigajoules),55
422,Lebanon,2005,Supply per capita (gigajoules),51
422,Lebanon,2010,Supply per capita (gigajoules),53
422,Lebanon,2015,Supply per capita (gigajoules),52
422,Lebanon,2016,Supply per capita (gigajoules),52
422,Lebanon,2017,Supply per capita (gigajoules),54
426,Lesotho,1990,Primary energy production (petajoules),19
426,Lesotho,1995,Primary energy production (petajoules),22
426,Lesotho,2000,Primary energy production (petajoules),28
426,Lesotho,2005,Primary energy production (petajoules),25
426,Lesotho,2010,Primary energy production (petajoules),27
426,Lesotho,2015,Primary energy production (petajoules),20
426,Lesotho,2016,Primary energy production (petajoules),19
426,Lesotho,2017,Primary energy production (petajoules),18
426,Lesotho,1990,Net imports [Imports - Exports - Bunkers] (petajoules),17
426,Lesotho,1995,Net imports [Imports - Exports - Bunkers] (petajoules),19
426,Lesotho,2000,Net imports [Imports - Exports - Bunkers] (petajoules),20
426,Lesotho,2005,Net imports [Imports - Exports - Bunkers] (petajoules),22
426,Lesotho,2010,Net imports [Imports - Exports - Bunkers] (petajoules),25
426,Lesotho,2015,Net imports [Imports - Exports - Bunkers] (petajoules),26
426,Lesotho,2016,Net imports [Imports - Exports - Bunkers] (petajoules),27
426,Lesotho,2017,Net imports [Imports - Exports - Bunkers] (petajoules),30
426,Lesotho,1990,Total supply (petajoules),36
426,Lesotho,1995,Total supply (petajoules),41
426,Lesotho,2000,Total supply (petajoules),48
426,Lesotho,2005,Total supply (petajoules),47
426,Lesotho,2010,Total supply (petajoules),52
426,Lesotho,2015,Total supply (petajoules),47
426,Lesotho,2016,Total supply (petajoules),46
426,Lesotho,2017,Total supply (petajoules),48
426,Lesotho,1990,Supply per capita (gigajoules),22
426,Lesotho,1995,Supply per capita (gigajoules),23
426,Lesotho,2000,Supply per capita (gigajoules),24
426,Lesotho,2005,Supply per capita (gigajoules),23
426,Lesotho,2010,Supply per capita (gigajoules),25
426,Lesotho,2015,Supply per capita (gigajoules),22
426,Lesotho,2016,Supply per capita (gigajoules),21
426,Lesotho,2017,Supply per capita (gigajoules),21
430,Liberia,1990,Primary energy production (petajoules),32
430,Liberia,1995,Primary energy production (petajoules),25
430,Liberia,2000,Primary energy production (petajoules),43
430,Liberia,2005,Primary energy production (petajoules),53
430,Liberia,2010,Primary energy production (petajoules),64
430,Liberia,2015,Primary energy production (petajoules),76
430,Liberia,2016,Primary energy production (petajoules),79
430,Liberia,2017,Primary energy production (petajoules),81
430,Liberia,1990,Net imports [Imports - Exports - Bunkers] (petajoules),7
430,Liberia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),7
430,Liberia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),6
430,Liberia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),9
430,Liberia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),11
430,Liberia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),16
430,Liberia,2016,Net imports [Imports - Exports - Bunkers] (petajoules),19
430,Liberia,2017,Net imports [Imports - Exports - Bunkers] (petajoules),17
430,Liberia,1990,Total supply (petajoules),38
430,Liberia,1995,Total supply (petajoules),31
430,Liberia,2000,Total supply (petajoules),49
430,Liberia,2005,Total supply (petajoules),62
430,Liberia,2010,Total supply (petajoules),75
430,Liberia,2015,Total supply (petajoules),92
430,Liberia,2016,Total supply (petajoules),97
430,Liberia,2017,Total supply (petajoules),97
430,Liberia,1990,Supply per capita (gigajoules),18
430,Liberia,1995,Supply per capita (gigajoules),15
430,Liberia,2000,Supply per capita (gigajoules),17
430,Liberia,2005,Supply per capita (gigajoules),19
430,Liberia,2010,Supply per capita (gigajoules),19
430,Liberia,2015,Supply per capita (gigajoules),20
430,Liberia,2016,Supply per capita (gigajoules),21
430,Liberia,2017,Supply per capita (gigajoules),21
434,Libya,1990,Primary energy production (petajoules),3020
434,Libya,1995,Primary energy production (petajoules),3190
434,Libya,2000,Primary energy production (petajoules),3117
434,Libya,2005,Primary energy production (petajoules),4062
434,Libya,2010,Primary energy production (petajoules),4294
434,Libya,2015,Primary energy production (petajoules),1314
434,Libya,2016,Primary energy production (petajoules),1208
434,Libya,2017,Primary energy production (petajoules),2233
434,Libya,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-2676
434,Libya,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-2538
434,Libya,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-2433
434,Libya,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-3335
434,Libya,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-3365
434,Libya,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-683
434,Libya,2016,Net imports [Imports - Exports - Bunkers] (petajoules),-644
434,Libya,2017,Net imports [Imports - Exports - Bunkers] (petajoules),-1677
434,Libya,1990,Changes in stocks (petajoules),-124
434,Libya,2010,Changes in stocks (petajoules),69
434,Libya,1990,Total supply (petajoules),468
434,Libya,1995,Total supply (petajoules),653
434,Libya,2000,Total supply (petajoules),685
434,Libya,2005,Total supply (petajoules),727
434,Libya,2010,Total supply (petajoules),860
434,Libya,2015,Total supply (petajoules),630
434,Libya,2016,Total supply (petajoules),562
434,Libya,2017,Total supply (petajoules),555
434,Libya,1990,Supply per capita (gigajoules),108
434,Libya,1995,Supply per capita (gigajoules),137
434,Libya,2000,Supply per capita (gigajoules),131
434,Libya,2005,Supply per capita (gigajoules),126
434,Libya,2010,Supply per capita (gigajoules),139
434,Libya,2015,Supply per capita (gigajoules),101
434,Libya,2016,Supply per capita (gigajoules),89
434,Libya,2017,Supply per capita (gigajoules),87
438,Liechtenstein,1990,Primary energy production (petajoules),0
438,Liechtenstein,1995,Primary energy production (petajoules),0
438,Liechtenstein,2000,Primary energy production (petajoules),0
438,Liechtenstein,2005,Primary energy production (petajoules),0
438,Liechtenstein,2010,Primary energy production (petajoules),1
438,Liechtenstein,2015,Primary energy production (petajoules),1
438,Liechtenstein,2016,Primary energy production (petajoules),1
438,Liechtenstein,2017,Primary energy production (petajoules),1
438,Liechtenstein,1990,Net imports [Imports - Exports - Bunkers] (petajoules),1
438,Liechtenstein,1995,Net imports [Imports - Exports - Bunkers] (petajoules),1
438,Liechtenstein,2000,Net imports [Imports - Exports - Bunkers] (petajoules),2
438,Liechtenstein,2005,Net imports [Imports - Exports - Bunkers] (petajoules),2
438,Liechtenstein,2010,Net imports [Imports - Exports - Bunkers] (petajoules),2
438,Liechtenstein,2015,Net imports [Imports - Exports - Bunkers] (petajoules),2
438,Liechtenstein,2016,Net imports [Imports - Exports - Bunkers] (petajoules),2
438,Liechtenstein,2017,Net imports [Imports - Exports - Bunkers] (petajoules),2
438,Liechtenstein,1990,Total supply (petajoules),1
438,Liechtenstein,1995,Total supply (petajoules),2
438,Liechtenstein,2000,Total supply (petajoules),2
438,Liechtenstein,2005,Total supply (petajoules),3
438,Liechtenstein,2010,Total supply (petajoules),3
438,Liechtenstein,2015,Total supply (petajoules),3
438,Liechtenstein,2016,Total supply (petajoules),3
438,Liechtenstein,2017,Total supply (petajoules),3
438,Liechtenstein,1990,Supply per capita (gigajoules),45
438,Liechtenstein,1995,Supply per capita (gigajoules),55
438,Liechtenstein,2000,Supply per capita (gigajoules),65
438,Liechtenstein,2005,Supply per capita (gigajoules),77
438,Liechtenstein,2010,Supply per capita (gigajoules),92
438,Liechtenstein,2015,Supply per capita (gigajoules),88
438,Liechtenstein,2016,Supply per capita (gigajoules),88
438,Liechtenstein,2017,Supply per capita (gigajoules),89
440,Lithuania,1995,Primary energy production (petajoules),160
440,Lithuania,2000,Primary energy production (petajoules),141
440,Lithuania,2005,Primary energy production (petajoules),169
440,Lithuania,2010,Primary energy production (petajoules),64
440,Lithuania,2015,Primary energy production (petajoules),77
440,Lithuania,2016,Primary energy production (petajoules),78
440,Lithuania,2017,Primary energy production (petajoules),86
440,Lithuania,1995,Net imports [Imports - Exports - Bunkers] (petajoules),226
440,Lithuania,2000,Net imports [Imports - Exports - Bunkers] (petajoules),169
440,Lithuania,2005,Net imports [Imports - Exports - Bunkers] (petajoules),198
440,Lithuania,2010,Net imports [Imports - Exports - Bunkers] (petajoules),231
440,Lithuania,2015,Net imports [Imports - Exports - Bunkers] (petajoules),221
440,Lithuania,2016,Net imports [Imports - Exports - Bunkers] (petajoules),222
440,Lithuania,2017,Net imports [Imports - Exports - Bunkers] (petajoules),224
440,Lithuania,1995,Changes in stocks (petajoules),22
440,Lithuania,2000,Changes in stocks (petajoules),15
440,Lithuania,2005,Changes in stocks (petajoules),3
440,Lithuania,2010,Changes in stocks (petajoules),3
440,Lithuania,2015,Changes in stocks (petajoules),4
440,Lithuania,2016,Changes in stocks (petajoules),0
440,Lithuania,2017,Changes in stocks (petajoules),-3
440,Lithuania,1995,Total supply (petajoules),363
440,Lithuania,2000,Total supply (petajoules),295
440,Lithuania,2005,Total supply (petajoules),365
440,Lithuania,2010,Total supply (petajoules),292
440,Lithuania,2015,Total supply (petajoules),293
440,Lithuania,2016,Total supply (petajoules),299
440,Lithuania,2017,Total supply (petajoules),313
440,Lithuania,1995,Supply per capita (gigajoules),100
440,Lithuania,2000,Supply per capita (gigajoules),84
440,Lithuania,2005,Supply per capita (gigajoules),107
440,Lithuania,2010,Supply per capita (gigajoules),94
440,Lithuania,2015,Supply per capita (gigajoules),100
440,Lithuania,2016,Supply per capita (gigajoules),103
440,Lithuania,2017,Supply per capita (gigajoules),108
442,Luxembourg,1990,Primary energy production (petajoules),1
442,Luxembourg,1995,Primary energy production (petajoules),2
442,Luxembourg,2000,Primary energy production (petajoules),3
442,Luxembourg,2005,Primary energy production (petajoules),5
442,Luxembourg,2010,Primary energy production (petajoules),5
442,Luxembourg,2015,Primary energy production (petajoules),6
442,Luxembourg,2016,Primary energy production (petajoules),7
442,Luxembourg,2017,Primary energy production (petajoules),8
442,Luxembourg,1990,Net imports [Imports - Exports - Bunkers] (petajoules),143
442,Luxembourg,1995,Net imports [Imports - Exports - Bunkers] (petajoules),130
442,Luxembourg,2000,Net imports [Imports - Exports - Bunkers] (petajoules),140
442,Luxembourg,2005,Net imports [Imports - Exports - Bunkers] (petajoules),179
442,Luxembourg,2010,Net imports [Imports - Exports - Bunkers] (petajoules),173
442,Luxembourg,2015,Net imports [Imports - Exports - Bunkers] (petajoules),150
442,Luxembourg,2016,Net imports [Imports - Exports - Bunkers] (petajoules),149
442,Luxembourg,2017,Net imports [Imports - Exports - Bunkers] (petajoules),151
442,Luxembourg,1990,Changes in stocks (petajoules),0
442,Luxembourg,1995,Changes in stocks (petajoules),-1
442,Luxembourg,2000,Changes in stocks (petajoules),2
442,Luxembourg,2005,Changes in stocks (petajoules),-1
442,Luxembourg,2010,Changes in stocks (petajoules),-1
442,Luxembourg,2015,Changes in stocks (petajoules),-1
442,Luxembourg,2016,Changes in stocks (petajoules),0
442,Luxembourg,2017,Changes in stocks (petajoules),0
442,Luxembourg,1990,Total supply (petajoules),143
442,Luxembourg,1995,Total supply (petajoules),133
442,Luxembourg,2000,Total supply (petajoules),142
442,Luxembourg,2005,Total supply (petajoules),185
442,Luxembourg,2010,Total supply (petajoules),179
442,Luxembourg,2015,Total supply (petajoules),158
442,Luxembourg,2016,Total supply (petajoules),156
442,Luxembourg,2017,Total supply (petajoules),160
442,Luxembourg,1990,Supply per capita (gigajoules),376
442,Luxembourg,1995,Supply per capita (gigajoules),327
442,Luxembourg,2000,Supply per capita (gigajoules),325
442,Luxembourg,2005,Supply per capita (gigajoules),405
442,Luxembourg,2010,Supply per capita (gigajoules),352
442,Luxembourg,2015,Supply per capita (gigajoules),279
442,Luxembourg,2016,Supply per capita (gigajoules),272
442,Luxembourg,2017,Supply per capita (gigajoules),274
450,Madagascar,1990,Primary energy production (petajoules),86
450,Madagascar,1995,Primary energy production (petajoules),107
450,Madagascar,2000,Primary energy production (petajoules),127
450,Madagascar,2005,Primary energy production (petajoules),145
450,Madagascar,2010,Primary energy production (petajoules),174
450,Madagascar,2015,Primary energy production (petajoules),209
450,Madagascar,2016,Primary energy production (petajoules),263
450,Madagascar,2017,Primary energy production (petajoules),272
450,Madagascar,1990,Net imports [Imports - Exports - Bunkers] (petajoules),13
450,Madagascar,1995,Net imports [Imports - Exports - Bunkers] (petajoules),18
450,Madagascar,2000,Net imports [Imports - Exports - Bunkers] (petajoules),26
450,Madagascar,2005,Net imports [Imports - Exports - Bunkers] (petajoules),24
450,Madagascar,2010,Net imports [Imports - Exports - Bunkers] (petajoules),25
450,Madagascar,2015,Net imports [Imports - Exports - Bunkers] (petajoules),45
450,Madagascar,2016,Net imports [Imports - Exports - Bunkers] (petajoules),45
450,Madagascar,2017,Net imports [Imports - Exports - Bunkers] (petajoules),50
450,Madagascar,1990,Changes in stocks (petajoules),0
450,Madagascar,1995,Changes in stocks (petajoules),0
450,Madagascar,2000,Changes in stocks (petajoules),0
450,Madagascar,2005,Changes in stocks (petajoules),0
450,Madagascar,2010,Changes in stocks (petajoules),-1
450,Madagascar,2015,Changes in stocks (petajoules),0
450,Madagascar,2016,Changes in stocks (petajoules),0
450,Madagascar,2017,Changes in stocks (petajoules),0
450,Madagascar,1990,Total supply (petajoules),99
450,Madagascar,1995,Total supply (petajoules),126
450,Madagascar,2000,Total supply (petajoules),153
450,Madagascar,2005,Total supply (petajoules),168
450,Madagascar,2010,Total supply (petajoules),201
450,Madagascar,2015,Total supply (petajoules),254
450,Madagascar,2016,Total supply (petajoules),307
450,Madagascar,2017,Total supply (petajoules),322
450,Madagascar,1990,Supply per capita (gigajoules),9
450,Madagascar,1995,Supply per capita (gigajoules),10
450,Madagascar,2000,Supply per capita (gigajoules),10
450,Madagascar,2005,Supply per capita (gigajoules),9
450,Madagascar,2010,Supply per capita (gigajoules),9
450,Madagascar,2015,Supply per capita (gigajoules),10
450,Madagascar,2016,Supply per capita (gigajoules),12
450,Madagascar,2017,Supply per capita (gigajoules),13
454,Malawi,1990,Primary energy production (petajoules),56
454,Malawi,1995,Primary energy production (petajoules),55
454,Malawi,2000,Primary energy production (petajoules),56
454,Malawi,2005,Primary energy production (petajoules),60
454,Malawi,2010,Primary energy production (petajoules),64
454,Malawi,2015,Primary energy production (petajoules),68
454,Malawi,2016,Primary energy production (petajoules),68
454,Malawi,2017,Primary energy production (petajoules),68
454,Malawi,1990,Net imports [Imports - Exports - Bunkers] (petajoules),8
454,Malawi,1995,Net imports [Imports - Exports - Bunkers] (petajoules),11
454,Malawi,2000,Net imports [Imports - Exports - Bunkers] (petajoules),9
454,Malawi,2005,Net imports [Imports - Exports - Bunkers] (petajoules),11
454,Malawi,2010,Net imports [Imports - Exports - Bunkers] (petajoules),12
454,Malawi,2015,Net imports [Imports - Exports - Bunkers] (petajoules),13
454,Malawi,2016,Net imports [Imports - Exports - Bunkers] (petajoules),15
454,Malawi,2017,Net imports [Imports - Exports - Bunkers] (petajoules),17
454,Malawi,1990,Total supply (petajoules),64
454,Malawi,1995,Total supply (petajoules),65
454,Malawi,2000,Total supply (petajoules),65
454,Malawi,2005,Total supply (petajoules),70
454,Malawi,2010,Total supply (petajoules),76
454,Malawi,2015,Total supply (petajoules),80
454,Malawi,2016,Total supply (petajoules),82
454,Malawi,2017,Total supply (petajoules),84
454,Malawi,1990,Supply per capita (gigajoules),7
454,Malawi,1995,Supply per capita (gigajoules),7
454,Malawi,2000,Supply per capita (gigajoules),6
454,Malawi,2005,Supply per capita (gigajoules),5
454,Malawi,2010,Supply per capita (gigajoules),5
454,Malawi,2015,Supply per capita (gigajoules),5
454,Malawi,2016,Supply per capita (gigajoules),5
454,Malawi,2017,Supply per capita (gigajoules),5
458,Malaysia,1990,Primary energy production (petajoules),1794
458,Malaysia,1995,Primary energy production (petajoules),2791
458,Malaysia,2000,Primary energy production (petajoules),3082
458,Malaysia,2005,Primary energy production (petajoules),3770
458,Malaysia,2010,Primary energy production (petajoules),3450
458,Malaysia,2015,Primary energy production (petajoules),3748
458,Malaysia,2016,Primary energy production (petajoules),3787
458,Malaysia,2017,Primary energy production (petajoules),3830
458,Malaysia,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-1019
458,Malaysia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-1069
458,Malaysia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-1115
458,Malaysia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-1003
458,Malaysia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-495
458,Malaysia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-365
458,Malaysia,2016,Net imports [Imports - Exports - Bunkers] (petajoules),-310
458,Malaysia,2017,Net imports [Imports - Exports - Bunkers] (petajoules),-343
458,Malaysia,1990,Changes in stocks (petajoules),3
458,Malaysia,1995,Changes in stocks (petajoules),14
458,Malaysia,2000,Changes in stocks (petajoules),8
458,Malaysia,2005,Changes in stocks (petajoules),21
458,Malaysia,2010,Changes in stocks (petajoules),-10
458,Malaysia,2015,Changes in stocks (petajoules),-41
458,Malaysia,2016,Changes in stocks (petajoules),-51
458,Malaysia,2017,Changes in stocks (petajoules),4
458,Malaysia,1990,Total supply (petajoules),773
458,Malaysia,1995,Total supply (petajoules),1708
458,Malaysia,2000,Total supply (petajoules),1959
458,Malaysia,2005,Total supply (petajoules),2745
458,Malaysia,2010,Total supply (petajoules),2965
458,Malaysia,2015,Total supply (petajoules),3424
458,Malaysia,2016,Total supply (petajoules),3527
458,Malaysia,2017,Total supply (petajoules),3482
458,Malaysia,1990,Supply per capita (gigajoules),42
458,Malaysia,1995,Supply per capita (gigajoules),82
458,Malaysia,2000,Supply per capita (gigajoules),84
458,Malaysia,2005,Supply per capita (gigajoules),105
458,Malaysia,2010,Supply per capita (gigajoules),105
458,Malaysia,2015,Supply per capita (gigajoules),111
458,Malaysia,2016,Supply per capita (gigajoules),113
458,Malaysia,2017,Supply per capita (gigajoules),110
462,Maldives,1990,Primary energy production (petajoules),0
462,Maldives,1995,Primary energy production (petajoules),0
462,Maldives,2000,Primary energy production (petajoules),0
462,Maldives,2005,Primary energy production (petajoules),0
462,Maldives,2010,Primary energy production (petajoules),0
462,Maldives,2015,Primary energy production (petajoules),0
462,Maldives,2016,Primary energy production (petajoules),0
462,Maldives,2017,Primary energy production (petajoules),0
462,Maldives,1990,Net imports [Imports - Exports - Bunkers] (petajoules),3
462,Maldives,1995,Net imports [Imports - Exports - Bunkers] (petajoules),4
462,Maldives,2000,Net imports [Imports - Exports - Bunkers] (petajoules),6
462,Maldives,2005,Net imports [Imports - Exports - Bunkers] (petajoules),9
462,Maldives,2010,Net imports [Imports - Exports - Bunkers] (petajoules),13
462,Maldives,2015,Net imports [Imports - Exports - Bunkers] (petajoules),19
462,Maldives,2016,Net imports [Imports - Exports - Bunkers] (petajoules),21
462,Maldives,2017,Net imports [Imports - Exports - Bunkers] (petajoules),21
462,Maldives,1990,Total supply (petajoules),2
462,Maldives,1995,Total supply (petajoules),4
462,Maldives,2000,Total supply (petajoules),6
462,Maldives,2005,Total supply (petajoules),9
462,Maldives,2010,Total supply (petajoules),13
462,Maldives,2015,Total supply (petajoules),19
462,Maldives,2016,Total supply (petajoules),21
462,Maldives,2017,Total supply (petajoules),22
462,Maldives,1990,Supply per capita (gigajoules),11
462,Maldives,1995,Supply per capita (gigajoules),14
462,Maldives,2000,Supply per capita (gigajoules),24
462,Maldives,2005,Supply per capita (gigajoules),30
462,Maldives,2010,Supply per capita (gigajoules),37
462,Maldives,2015,Supply per capita (gigajoules),41
462,Maldives,2016,Supply per capita (gigajoules),44
462,Maldives,2017,Supply per capita (gigajoules),43
466,Mali,1990,Primary energy production (petajoules),37
466,Mali,1995,Primary energy production (petajoules),42
466,Mali,2000,Primary energy production (petajoules),45
466,Mali,2005,Primary energy production (petajoules),49
466,Mali,2010,Primary energy production (petajoules),52
466,Mali,2015,Primary energy production (petajoules),56
466,Mali,2016,Primary energy production (petajoules),57
466,Mali,2017,Primary energy production (petajoules),57
466,Mali,1990,Net imports [Imports - Exports - Bunkers] (petajoules),5
466,Mali,1995,Net imports [Imports - Exports - Bunkers] (petajoules),6
466,Mali,2000,Net imports [Imports - Exports - Bunkers] (petajoules),11
466,Mali,2005,Net imports [Imports - Exports - Bunkers] (petajoules),12
466,Mali,2010,Net imports [Imports - Exports - Bunkers] (petajoules),26
466,Mali,2015,Net imports [Imports - Exports - Bunkers] (petajoules),38
466,Mali,2016,Net imports [Imports - Exports - Bunkers] (petajoules),38
466,Mali,2017,Net imports [Imports - Exports - Bunkers] (petajoules),38
466,Mali,1990,Total supply (petajoules),43
466,Mali,1995,Total supply (petajoules),49
466,Mali,2000,Total supply (petajoules),57
466,Mali,2005,Total supply (petajoules),61
466,Mali,2010,Total supply (petajoules),79
466,Mali,2015,Total supply (petajoules),94
466,Mali,2016,Total supply (petajoules),95
466,Mali,2017,Total supply (petajoules),96
466,Mali,1990,Supply per capita (gigajoules),5
466,Mali,1995,Supply per capita (gigajoules),5
466,Mali,2000,Supply per capita (gigajoules),5
466,Mali,2005,Supply per capita (gigajoules),5
